Unit,TCode,Rent,Base,Criteria,Grace_Period,Legal_Rent,Deposit,From,To,Move_In,Move_Out,Months_Occupied,Last_Renewal,Tenant_Status,Roommates-Y,ACH-Y
1-6D,t0006073,"1,385.00",50.00,Flat Amount,5.00,"2,087.59","2,087.59 ", 04/01/19, 03/31/21, 03/27/15,,-1403, 01/30/19,Current,Y,Y
1-6E,t0007299,"1,685.27",5.00,% Monthly Rent,5.00,"2,106.25",0.00 , 10/06/15, 10/31/17, 10/06/15, 10/31/17,25,,Past,Y,N
1-6E,t0012149,0.00,5.00,% Owed-month,5.00,"2,106.25",0.00 , 12/31/17, 12/31/19, 12/31/17,,-1437,,Applicant,N,N
1-6E,t0012892,0.00,5.00,% Owed-month,5.00,"2,106.25",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
1-6E,t0013310,0.00,5.00,% Owed-month,5.00,"2,106.25",0.00 , 04/30/18, 04/30/20, 04/30/18,,-1441,,Applicant,N,N
1-6E,t0013449,"1,739.67",50.00,Flat Amount,5.00,"2,106.25","2,106.25 ", 05/25/18, 05/31/20, 05/25/18,,-1442,,Current,Y,Y
1-6E,t0013424,0.00,5.00,% Owed-month,5.00,"2,106.25",0.00 , 06/01/18, 05/31/20, 06/01/18,,-1442,,Applicant,N,N
1-6E,t0013448,0.00,5.00,% Owed-month,5.00,"2,106.25",0.00 , 06/01/18, 05/31/20, 06/01/18,,-1442,,Applicant,N,N
1-HOUSE,t0016525,0.00,,% Owed-month,0.00,,0.00 , 01/01/20,, 01/01/20,,-1461,,Current,N,N
1-L1,t0008646,"1,752.07",5.00,% Owed-month,5.00,"2,560.93",, 05/30/16, 05/31/18, 05/30/16,,-1417,,Applicant,N,N
1-L1,t0008198,"1,575.00",5.00,% Owed-month,5.00,"2,560.93",0.00 , 05/01/18, 04/30/19, 04/30/16, 4/30/19,37, 04/16/18,Past,Y,N
1-L1,t0015302,"1,575.00",50.00,Flat Amount,5.00,"2,560.93","2,560.93 ", 06/01/19, 05/31/20, 06/01/19,,-1454,,Current,N,Y
1-L3,t0012928,750.75,5.00,% Owed-month,5.00,"2,182.09","2,128.87 ", 04/01/20, 03/31/22, 03/17/18,,-1439, 02/19/20,Current,Y,Y
1-PARK,t0009301,0.00,25.00,Flat Amount,5.00,,0.00 , 08/01/17, 07/31/18, 07/12/16, 7/27/18,25, 08/04/17,Past,N,N
1-PARK,t0014814,200.00,25.00,Flat Amount,0.00,,0.00 , 02/08/19, 02/29/20, 02/08/19, 2/15/19,0,,Past,N,N
1-PARK,t0015014,0.00,25.00,Flat Amount,0.00,,0.00 , 03/29/19, 03/31/20, 03/29/19,,-1452,,Current,N,N
1-PARK,t0014214,0.00,25.00,Flat Amount,0.00,,20.00 , 10/01/19, 09/30/21, 09/20/18,,-1445,,Current,N,Y
1-PARK,t0014898,0.00,25.00,Flat Amount,0.00,,0.00 , 03/01/20, 02/28/21, 02/28/19,,-1451, 01/24/20,Current,N,Y
1-SCQ,t0009363,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/16,, 01/01/16,,-1412,,Current,N,N
4-1C,t0008827,0.00,5.00,% Owed-month,5.00,"2,947.98",0.00 , 05/31/16, 05/31/18, 05/31/16,,-1417,,Applicant,N,N
4-1C,t0009025,"1,775.00",5.00,% Monthly Rent,5.00,"2,947.98",0.00 , 06/18/16, 06/30/18, 06/18/16, 6/30/18,25,,Past,N,N
4-1C,t0013846,0.00,5.00,% Owed-month,5.00,"2,947.98",0.00 , 07/31/18, 07/31/20, 07/31/18,,-1444,,Applicant,N,N
4-1C,t0014180,"1,699.00",5.00,% Monthly Rent,5.00,"2,947.98","2,911.98 ", 09/26/18, 09/30/20, 09/26/18, 1/31/19,4,,Past,Y,N
4-1C,t0014071,0.00,5.00,% Owed-month,5.00,"2,947.98",0.00 , 09/30/18, 09/30/20, 09/30/18,,-1446,,Applicant,N,N
4-1C,t0014120,0.00,5.00,% Owed-month,5.00,"2,947.98",0.00 , 09/30/18, 09/30/20, 09/30/18,,-1446,,Applicant,N,N
4-1C,t0014919,0.00,5.00,% Owed-month,5.00,"2,947.98",0.00 , 03/31/19, 03/31/21, 03/31/19,,-1452,,Applicant,N,N
4-1C,t0014917,"1,715.00",50.00,Flat Amount,5.00,"2,947.98","2,947.98 ", 04/01/19, 03/31/21, 04/01/19,,-1452,,Current,N,Y
4-1J,t0012949,0.00,5.00,% Owed-month,5.00,"4,241.09",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
4-1J,t0013003,0.00,5.00,% Owed-month,5.00,"4,241.09",0.00 , 04/30/18, 04/30/20, 04/30/18,,-1441,,Applicant,N,N
4-1J,t0013335,0.00,5.00,% Owed-month,5.00,"4,241.09",0.00 , 05/31/18, 05/31/20, 05/31/18,,-1442,,Applicant,N,N
4-1J,t0013568,"1,677.87",50.00,Flat Amount,5.00,"4,241.09","3,000.00 ", 06/27/18, 06/30/20, 06/27/18,,-1443,,Current,Y,Y
