Unit,TCode,Rent,Base,Criteria,Grace_Period,Legal_Rent,Deposit,From,To,Move_In,Move_Out,Months_Occupied,Last_Renewal,Tenant_Status,Roommates-Y,ACH-Y
17-A2,t0011123,"1,550.00",50.00,Flat Amount,5.00,"3,474.35","3,474.35 ", 08/01/19, 07/31/21, 07/15/17,,-1431, 04/03/19,Current,N,N
17-A4,t0012939,0.00,5.00,% Owed-month,5.00,"2,449.82",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
17-A4,t0013016,0.00,5.00,% Owed-month,5.00,"2,449.82",0.00 , 04/30/18, 04/30/20, 04/30/18,,-1441,,Applicant,N,N
17-A4,t0013441,"1,499.00",50.00,Flat Amount,5.00,"2,449.82","2,449.82 ", 05/21/18, 05/31/20, 05/21/18,,-1441,,Current,Y,Y
17-A4,t0013416,0.00,5.00,% Owed-month,5.00,"2,449.82",0.00 , 05/31/18, 05/31/20, 05/31/18,,-1442,,Applicant,N,N
17-A5,t0012191,"1,845.00",50.00,Flat Amount,5.00,"2,750.52","2,683.43 ", 01/01/20, 12/31/21, 12/20/17,,-1436, 11/21/19,Current,Y,Y
17-B1,t0009957,0.00,5.00,% Owed-month,5.00,"4,009.23",0.00 , 10/31/16, 10/31/18, 10/31/16,,-1422,,Applicant,N,N
17-B1,t0010019,"1,775.00",5.00,% Monthly Rent,5.00,"4,009.23","3,644.75 ", 11/25/16, 11/30/18, 11/25/16, 11/14/18,24,,Past,Y,N
17-B1,t0014410,"1,775.00",50.00,Flat Amount,5.00,"4,009.23","4,009.23 ", 11/28/18, 11/30/20, 11/28/18,,-1448,,Current,Y,Y
17-B2,t0011207,"1,499.00",50.00,Flat Amount,5.00,"4,934.34","2,853.00 ", 08/01/19, 07/31/21, 07/11/17,,-1431, 07/02/19,Current,Y,Y
17-B4,t0008374,"1,650.00",50.00,Flat Amount,5.00,"3,004.22","3,004.30 ", 04/01/19, 03/31/21, 03/16/16,,-1415, 01/31/19,Current,Y,Y
17-B5,t0003363,0.00,5.00,% Owed-month,5.00,"3,412.19",, 09/30/16, 09/30/18, 09/30/16,,-1421,,Applicant,N,N
17-B5,t0009970,"1,459.00",5.00,% Monthly Rent,5.00,"3,412.19","3,328.97 ", 11/10/16, 11/30/18, 11/10/16, 4/30/17,6,,Past,Y,N
17-B5,t0010813,"1,575.00",50.00,Flat Amount,5.00,"3,412.19","3,328.97 ", 05/01/19, 04/30/21, 05/01/17,,-1429, 02/13/19,Current,Y,Y
17-B7,t0009777,"1,875.00",50.00,Flat Amount,5.00,"2,902.42","2,902.39 ", 10/01/18, 09/30/20, 09/28/16,,-1421, 09/07/18,Current,Y,Y
17-B8,t0013022,"1,600.00",50.00,Flat Amount,5.00,"2,856.90","2,856.90 ", 04/09/18, 04/30/20, 04/09/18,,-1440,,Current,N,Y
17-B9,t0006178,"1,520.00",50.00,Flat Amount,5.00,"2,927.04","2,855.65 ", 05/01/19, 04/30/21, 04/27/15,,-1404, 02/13/19,Current,Y,Y
17-C2,t0005849,"1,570.00",5.00,% Monthly Rent,5.00,"3,333.64","2,772.66 ", 02/01/18, 01/31/20, 01/24/15, 9/10/18,44, 03/26/18,Past,Y,N
17-C2,t0014156,"1,613.85",50.00,Flat Amount,5.00,"3,333.64","3,252.33 ", 10/01/19, 09/30/21, 09/14/18,,-1445, 09/14/19,Current,Y,Y
17-C3,t0007064,0.00,5.00,% Owed-month,5.00,"4,698.64",0.00 , 08/31/15, 08/31/17, 08/31/15,,-1408,,Applicant,N,N
17-C3,t0007488,"1,799.01",5.00,% Monthly Rent,5.00,"4,698.64",0.00 , 11/28/15, 11/30/17, 11/28/15, 12/29/17,25,,Past,Y,N
17-C3,t0012901,0.00,5.00,% Owed-month,5.00,"4,698.64",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
17-C3,t0012945,0.00,5.00,% Owed-month,5.00,"4,698.64",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
17-C3,t0012997,"1,914.77",50.00,Flat Amount,5.00,"4,698.64","4,629.20 ", 04/01/20, 03/31/21, 03/27/18,,-1440, 02/11/20,Current,Y,Y
17-C5,t0008812,0.00,5.00,% Owed-month,5.00,"2,981.61",0.00 , 05/31/16, 05/31/18, 05/31/16,,-1417,,Applicant,N,N
17-C5,t0009054,0.00,5.00,% Owed-month,5.00,"2,981.61",0.00 , 06/30/16, 06/30/18, 06/30/16,,-1418,,Applicant,N,N
17-C5,t0009044,"1,485.00",50.00,Flat Amount,5.00,"2,981.61","2,983.15 ", 07/01/18, 06/30/20, 06/23/16,,-1418, 06/05/18,Current,Y,N
17-C7,t0008137,0.00,5.00,% Owed-month,5.00,"3,092.54",0.00 , 02/29/16, 02/28/18, 02/29/16,,-1414,,Applicant,N,N
17-C7,t0008206,"1,770.00",50.00,Flat Amount,5.00,"3,092.54","2,957.95 ", 04/01/20, 03/31/22, 04/01/16,,-1415, 01/28/20,Current,Y,Y
17-C8,t0010871,"1,315.00",50.00,Flat Amount,5.00,"2,441.10","2,381.56 ", 05/01/19, 04/30/21, 05/01/17,,-1429, 02/05/19,Current,Y,Y
17-C9,t0008937,205.00,5.00,% Monthly Rent,5.00,"3,996.33","1,689.00 ", 06/01/16, 05/31/17, 06/01/16, 7/14/16,1,,Past,N,N
17-C9,t0010104,"3,302.75",5.00,% Owed-month,5.00,"3,996.33",0.00 , 12/31/16, 12/31/18, 12/31/16,,-1425,,Applicant,N,N
17-C9,t0010465,"3,633.03",5.00,% Monthly Rent,5.00,"3,996.33",0.00 , 02/23/17, 02/28/19, 02/23/17, 2/27/19,24,,Past,Y,N
17-C9,t0015114,0.00,5.00,% Owed-month,5.00,"3,996.33",0.00 , 04/30/19, 04/30/21, 04/30/19,,-1453,,Applicant,N,N
17-C9,t0015978,"1,675.00",5.00,% Owed-month,5.00,"3,996.33","3,996.30 ", 06/01/19, 05/31/21, 06/01/19,,-1454,,Current,N,N
17-D2,t0007244,0.00,5.00,% Owed-month,5.00,"2,472.76",0.00 , 09/30/15, 09/30/17, 09/30/15,,-1409,,Applicant,N,N
17-D2,t0007319,0.00,5.00,% Owed-month,5.00,"2,472.76",0.00 , 10/31/15, 10/31/17, 10/31/15,,-1410,,Applicant,N,N
17-D2,t0007344,0.00,5.00,% Owed-month,5.00,"2,472.76",0.00 , 10/31/15, 10/31/17, 10/31/15,,-1410,,Applicant,N,N
17-D2,t0007343,"1,520.00",5.00,% Monthly Rent,5.00,"2,472.76","2,061.59 ", 11/01/16, 10/31/18, 10/16/15, 11/30/16,14, 11/01/16,Past,Y,N
17-D2,t0010286,0.00,5.00,% Owed-month,5.00,"2,472.76",0.00 , 01/30/17, 01/31/19, 01/30/17,,-1426,,Applicant,N,N
17-D2,t0010407,0.00,5.00,% Owed-month,5.00,"2,472.76",0.00 , 02/28/17, 02/28/19, 02/28/17,,-1426,,Applicant,N,N
17-D2,t0010617,"1,605.00",5.00,% Owed-month,5.00,"2,472.76",0.00 , 03/31/17, 03/31/19, 03/31/17, 4/1/19,24,,Past,N,N
17-D2,t0015314,"1,650.00",50.00,Flat Amount,5.00,"2,472.76","2,472.76 ", 06/06/19, 06/30/21, 06/06/19,,-1454,,Current,Y,Y
17-D4,t0006793,"2,099.00",50.00,Flat Amount,5.00,"2,492.36","2,492.54 ", 08/01/19, 07/31/21, 07/10/15,,-1407, 05/09/19,Current,Y,N
17-D5,t0013630,0.00,5.00,% Owed-month,5.00,"2,390.10",0.00 , 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
17-D5,t0013665,0.00,5.00,% Owed-month,5.00,"2,390.10",0.00 , 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
17-D5,t0013740,"1,502.77",50.00,Flat Amount,5.00,"2,390.10","2,390.10 ", 07/16/18, 07/31/20, 07/16/18,,-1443,,Current,Y,Y
17-D6,t0013605,0.00,5.00,% Owed-month,5.00,"2,759.64",0.00 , 06/30/18, 06/30/20, 06/30/18,,-1443,,Applicant,N,N
17-D6,t0013882,"1,543.97",50.00,Flat Amount,5.00,"2,759.64","2,759.64 ", 08/17/18, 08/31/20, 08/17/18,,-1444,,Current,Y,Y
17-SCQ,t0011268,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/17,, 01/01/17,,-1425,,Current,N,N
18-1C,t0011185,899.00,5.00,% Owed-month,5.00,"1,115.39","1,093.52 ", 07/01/18, 06/30/20, 07/01/17,,-1431, 06/18/18,Current,Y,Y
18-1D,t0008370,"1,985.00",50.00,Flat Amount,5.00,"3,053.51","3,055.00 ", 04/01/18, 03/31/20, 03/16/16,,-1415, 03/26/18,Current,Y,Y
18-1F,t0014332,0.00,5.00,% Owed-month,5.00,"3,934.56",0.00 , 10/31/18, 10/31/20, 10/31/18,,-1447,,Applicant,N,N
18-1F,t0014538,0.00,5.00,% Owed-month,5.00,"3,934.56",0.00 , 11/30/18, 11/30/20, 11/30/18,,-1448,,Applicant,N,N
18-1F,t0014782,"1,765.00",50.00,Flat Amount,5.00,"3,934.56","3,934.56 ", 02/27/19, 02/28/21, 02/27/19,,-1451,,Current,Y,Y
18-1H,t0013909,"1,905.00",50.00,Flat Amount,5.00,"3,054.13","3,054.13 ", 08/09/18, 08/31/20, 08/09/18,,-1444,,Current,Y,Y
18-1M,t0010067,"1,775.00",5.00,% Monthly Rent,5.00,"2,852.90",0.00 , 11/25/16, 11/30/18, 11/25/16, 11/30/18,25,,Past,N,N
18-1M,t0014610,"1,821.93",50.00,Flat Amount,5.00,"2,852.90","1,795.50 ", 01/01/20, 12/31/20, 12/17/18,,-1448, 01/08/20,Current,Y,Y
18-1P,t0016024,"1,152.76",0.00,Flat Amount,5.00,,"2,110.00 ", 09/13/19, 09/30/20, 09/13/19,,-1457,,Current,N,Y
18-1R,t0014282,"1,543.97",50.00,Flat Amount,5.00,"4,338.16","3,790.00 ", 11/29/18, 11/30/20, 11/29/18,,-1448,,Current,N,Y
18-2B,t0006519,"2,385.00",50.00,Flat Amount,5.00,"2,727.83","2,661.30 ", 06/01/19, 05/31/21, 06/01/15,,-1405, 03/18/19,Current,Y,Y
18-2C,t0011225,0.00,5.00,% Owed-month,5.00,"5,155.11",0.00 , 07/31/17, 07/31/19, 07/31/17,,-1432,,Applicant,N,N
18-2C,t0011740,"1,638.98",50.00,Flat Amount,5.00,"5,155.11","5,155.11 ", 10/01/19, 09/30/21, 09/27/17,,-1434, 08/29/19,Current,Y,Y
18-2D,t0015157,"1,920.00",50.00,Flat Amount,5.00,"4,696.65","4,000.00 ", 05/31/19, 05/31/21, 05/31/19,,-1454,,Current,Y,Y
18-2G,t0005505,"1,675.00",5.00,% Monthly Rent,5.00,"2,626.09","2,283.56 ", 03/01/17, 02/28/19, 02/13/15, 2/6/19,48, 02/13/17,Past,Y,N
18-2G,t0014445,"1,690.00",50.00,Flat Amount,5.00,"2,626.09","2,626.09 ", 02/07/19, 02/28/21, 02/07/19,,-1450,,Current,Y,Y
18-2H,t0012274,"2,253.19",50.00,Flat Amount,5.00,"2,654.70","2,654.70 ", 02/01/20, 01/31/21, 01/11/18,,-1437, 12/04/19,Current,Y,Y
18-2L,t0011897,"2,300.00",50.00,Flat Amount,5.00,"2,619.30","1,637.65 ", 09/01/19, 08/31/21, 09/01/17,,-1433, 09/10/19,Current,Y,N
18-2N,t0007007,"1,550.00",50.00,Flat Amount,5.00,"2,274.91","2,244.84 ", 09/01/19, 08/31/20, 08/08/15,,-1407, 07/02/19,Current,N,Y
18-2R,t0008903,0.00,5.00,% Owed-month,5.00,"4,671.81",0.00 , 06/30/16, 06/30/18, 06/30/16,,-1418,,Applicant,N,N
18-2R,t0008926,"2,245.00",50.00,Flat Amount,5.00,"4,671.81","2,179.00 ", 07/01/19, 06/30/21, 06/25/16,,-1418, 06/21/19,Current,Y,Y
18-3A,t0012438,"1,742.50",50.00,Flat Amount,5.00,"5,064.31","3,498.00 ", 03/01/20, 02/28/21, 03/01/18,,-1439, 02/14/20,Current,N,Y
18-3B,t0008855,"2,190.00",50.00,Flat Amount,5.00,"4,484.12","4,484.12 ", 06/01/18, 05/31/20, 06/01/16,,-1417, 04/03/18,Current,Y,Y
18-3H,t0013906,0.00,5.00,% Owed-month,5.00,"2,602.90",0.00 , 09/30/18, 09/30/20, 09/30/18,,-1446,,Applicant,N,N
18-3H,t0014299,"1,914.77",50.00,Flat Amount,5.00,"2,602.90","2,602.90 ", 10/26/18, 10/31/20, 10/26/18,,-1447,,Current,Y,Y
18-3K,t0012158,"1,946.48",50.00,Flat Amount,5.00,"3,423.04","3,339.55 ", 02/01/20, 01/31/22, 01/30/18,,-1438, 12/04/19,Current,Y,Y
18-3L,t0007348,"2,105.00",50.00,Flat Amount,5.00,"3,160.82","3,023.26 ", 11/01/19, 10/31/21, 10/31/15,,-1410, 10/08/19,Current,Y,Y
18-3M,t0012223,"1,825.00",50.00,Flat Amount,5.00,"1,969.98","1,969.98 ", 01/01/20, 12/31/20, 01/01/18,,-1437, 01/02/20,Current,Y,Y
18-4D,t0013400,"1,905.50",50.00,Flat Amount,5.00,"2,667.12","2,667.12 ", 05/25/18, 05/31/20, 05/25/18,,-1442,,Current,Y,Y
18-4F,t0005946,"1,600.00",50.00,Flat Amount,5.00,"4,251.57","4,147.87 ", 03/01/20, 02/28/22, 03/01/15,,-1402, 02/04/20,Current,Y,Y
18-4G,t0009872,"1,879.00",5.00,% Monthly Rent,5.00,"3,706.25","2,522.49 ", 10/31/16, 10/31/18, 10/31/16, 12/2/16,1,,Past,N,N
18-4G,t0010959,0.00,5.00,% Owed-month,5.00,"3,706.25",0.00 , 06/30/17, 06/30/19, 06/30/17,,-1431,,Applicant,N,N
18-4G,t0010968,"1,715.00",50.00,Flat Amount,5.00,"3,706.25","3,615.85 ", 07/01/19, 06/30/21, 06/06/17,,-1430, 05/20/19,Current,Y,Y
18-4H,t0012827,0.00,5.00,% Owed-month,5.00,"3,002.75",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
18-4H,t0013336,"1,639.00",50.00,Flat Amount,5.00,"3,002.75","1,715.00 ", 05/01/18, 04/30/20, 05/01/18,,-1441,,Current,Y,Y
18-4L,t0013367,"2,079.00",50.00,Flat Amount,5.00,"3,020.35","3,020.35 ", 05/25/18, 05/31/20, 05/25/18,,-1442,,Current,Y,Y
18-4M,t0007963,"1,775.00",5.00,% Monthly Rent,5.00,"3,331.93",0.00 , 02/01/18, 01/31/20, 01/30/16, 10/31/18,34, 01/22/18,Past,Y,N
18-4M,t0014493,"1,879.75",50.00,Flat Amount,5.00,"3,331.93","3,331.93 ", 12/20/18, 12/31/20, 12/20/18,,-1448,,Current,Y,Y
18-4R,t0006340,0.00,5.00,% Owed-month,5.00,"4,536.84",, 04/30/15, 04/30/17, 04/30/15,,-1404,,Applicant,N,N
18-4R,t0006371,0.00,5.00,% Owed-month,5.00,"4,536.84",, 04/30/15, 04/30/17, 04/30/15,,-1404,,Applicant,N,N
18-4R,t0006446,0.00,5.00,% Owed-month,5.00,"4,536.84",, 05/31/15, 05/31/17, 05/31/15,,-1405,,Applicant,N,N
18-4R,t0006511,0.00,5.00,% Owed-month,5.00,"4,536.84",, 05/31/15, 05/31/17, 05/31/15,,-1405,,Applicant,N,N
18-4R,t0006551,0.00,5.00,% Owed-month,5.00,"4,536.84",, 05/31/15, 05/31/17, 05/31/15,,-1405,,Applicant,N,N
18-4R,t0006608,"2,175.00",50.00,Flat Amount,5.00,"4,536.84","4,536.84 ", 06/01/19, 05/31/21, 05/30/15,,-1405, 03/13/19,Current,Y,Y
18-5A,t0006008,0.00,5.00,% Owed-month,5.00,"3,232.01",, 02/28/15, 02/28/17, 02/28/15,,-1402,,Applicant,N,N
18-5A,t0006471,0.00,5.00,% Owed-month,5.00,"3,232.01",, 05/31/15, 05/31/17, 05/31/15,,-1405,,Applicant,N,N
18-5A,t0006897,"1,799.00",50.00,Flat Amount,5.00,"3,232.01","3,153.18 ", 08/01/19, 07/31/21, 07/22/15,,-1407, 07/10/19,Current,Y,Y
18-5C,t0008683,"1,750.00",50.00,Flat Amount,5.00,"3,689.58","3,689.58 ", 05/01/18, 04/30/20, 04/28/16,,-1416, 03/27/18,Current,Y,Y
18-5D,t0012923,0.00,5.00,% Owed-month,5.00,"4,881.52",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
18-5D,t0012950,0.00,5.00,% Owed-month,5.00,"4,881.52",0.00 , 03/31/18, 03/31/20, 03/31/18,,-1440,,Applicant,N,N
18-5D,t0013269,"2,017.77",50.00,Flat Amount,5.00,"4,881.52","4,881.52 ", 04/27/18, 04/30/20, 04/27/18,,-1441,,Current,Y,Y
18-5D,t0013001,0.00,5.00,% Owed-month,5.00,"4,881.52",0.00 , 04/30/18, 04/30/20, 04/30/18,,-1441,,Applicant,N,N
18-5D,t0013025,0.00,5.00,% Owed-month,5.00,"4,881.52",0.00 , 04/30/18, 04/30/20, 04/30/18,,-1441,,Applicant,N,N
18-5J,t0006989,0.00,5.00,% Owed-month,5.00,"3,111.23",, 08/31/15, 08/31/17, 08/31/15,,-1408,,Applicant,N,N
18-5J,t0007075,0.00,5.00,% Owed-month,5.00,"3,111.23",0.00 , 08/31/15, 08/31/17, 08/31/15,,-1408,,Applicant,N,N
18-5J,t0007174,0.00,5.00,% Owed-month,5.00,"3,111.23",0.00 , 09/30/15, 09/30/17, 09/30/15,,-1409,,Applicant,N,N
18-5J,t0007609,"1,665.00",5.00,% Monthly Rent,5.00,"3,111.23",0.00 , 11/28/15, 11/30/17, 11/28/15, 11/29/17,24,,Past,Y,N
18-5J,t0012235,0.00,5.00,% Owed-month,5.00,"3,111.23",0.00 , 12/31/17, 12/31/19, 12/31/17,,-1437,,Applicant,N,N
18-5J,t0012371,0.00,5.00,% Owed-month,5.00,"3,111.23",0.00 , 02/28/18, 02/29/20, 02/28/18,,-1439,,Applicant,N,N
18-5J,t0012403,0.00,5.00,% Owed-month,5.00,"3,111.23",0.00 , 02/28/18, 02/29/20, 02/28/18,,-1439,,Applicant,N,N
18-5J,t0012419,"1,745.97",50.00,Flat Amount,5.00,"3,111.23","3,039.35 ", 03/01/20, 02/28/22, 02/17/18,,-1438, 01/24/20,Current,Y,Y
18-5R,t0007764,0.00,5.00,% Owed-month,5.00,"4,697.42",0.00 , 12/31/15, 12/31/17, 12/31/15,,-1412,,Applicant,N,N
18-5R,t0007789,"2,192.40",50.00,Flat Amount,5.00,"4,697.42","4,697.42 ", 02/01/20, 01/31/21, 01/26/16,,-1413, 01/22/20,Current,Y,Y
18-6A,t0006644,0.00,5.00,% Owed-month,5.00,"3,415.79",, 06/30/15, 06/30/17, 06/30/15,,-1406,,Applicant,N,N
18-6A,t0006730,0.00,5.00,% Owed-month,5.00,"3,415.79",, 06/30/15, 06/30/17, 06/30/15,,-1406,,Applicant,N,N
18-6A,t0006916,"1,750.00",50.00,Flat Amount,5.00,"3,415.79","3,267.14 ", 08/01/19, 07/31/21, 07/28/15,,-1407, 07/09/19,Current,Y,Y
18-6B,t0006077,"1,850.00",5.00,% Owed-month,5.00,"3,697.87",0.00 , 02/28/15, 02/28/17, 02/28/15, 8/30/15,6,,Past,Y,N
18-6B,t0007175,"2,100.00",5.00,% Monthly Rent,5.00,"3,697.87",684.24 , 09/01/17, 08/31/19, 09/01/15, 9/29/18,37, 08/22/17,Past,N,N
18-6B,t0014276,"2,200.00",50.00,Flat Amount,5.00,"3,697.87","3,697.88 ", 10/19/18, 10/31/20, 10/19/18,,-1446,,Current,Y,Y
18-6C,t0014725,"1,750.00",50.00,Flat Amount,5.00,"3,278.38","3,278.38 ", 03/09/19, 03/31/21, 03/09/19,,-1451,,Current,Y,Y
18-6G,t0008068,0.00,5.00,% Owed-month,5.00,"2,826.38",0.00 , 02/29/16, 02/28/18, 02/29/16,,-1414,,Applicant,N,N
18-6G,t0008376,"1,675.00",5.00,% Monthly Rent,5.00,"2,826.38",0.00 , 03/23/16, 03/31/18, 03/23/16, 4/2/18,25,,Past,Y,N
18-6G,t0008258,0.00,5.00,% Owed-month,5.00,"2,826.38",0.00 , 03/31/16, 03/31/18, 03/31/16,,-1415,,Applicant,N,N
18-6G,t0013362,"1,800.00",50.00,Flat Amount,5.00,"2,826.38","2,826.38 ", 05/14/18, 05/31/20, 05/14/18,,-1441,,Current,Y,Y
18-6J,t0015718,0.00,5.00,% Owed-month,5.00,"3,683.25",0.00 , 07/11/19, 07/31/21, 07/11/19,,-1455,,Applicant,N,N
18-6J,t0015681,"1,850.00",50.00,Flat Amount,5.00,"3,683.25","3,683.25 ", 07/30/19, 07/31/21, 07/30/19,,-1456,,Current,N,Y
18-6J,t0015724,0.00,5.00,% Owed-month,5.00,"3,683.25",0.00 , 07/31/19, 07/31/21, 07/31/19,,-1456,,Applicant,N,N
18-6K,t0015289,"2,055.00",50.00,Flat Amount,5.00,"3,016.06","2,382.35 ", 05/30/19, 05/31/21, 05/30/19,,-1454,,Current,Y,N
18-6L,t0008565,"1,900.00",50.00,Flat Amount,5.00,"2,170.57","2,170.57 ", 05/01/18, 04/30/20, 05/01/16,,-1416, 03/27/18,Current,Y,Y
18-6N,t0006723,0.00,5.00,% Owed-month,5.00,"2,989.95",, 06/30/15, 06/30/17, 06/30/15,,-1406,,Applicant,N,N
18-6N,t0006690,"1,085.00",5.00,% Monthly Rent,5.00,"2,989.95",0.00 , 07/11/15, 07/31/17, 07/11/15, 8/1/17,25,,Past,Y,N
18-6N,t0011471,"1,530.00",50.00,Flat Amount,5.00,"2,989.95",0.00 , 08/30/17, 08/31/19, 08/30/17, 9/3/19,24,,Past,Y,N
18-6N,t0016117,"2,090.95",50.00,Flat Amount,5.00,"2,989.95","2,850.00 ", 06/07/19, 06/30/20, 06/07/19,,-1454,,Current,Y,Y
18-6R,t0015703,"2,199.00",50.00,Flat Amount,5.00,"3,264.02","3,264.02 ", 07/24/19, 07/31/21, 07/24/19,,-1456,,Current,Y,Y
18-SCQ,t0006679,0.00,0.00,% Owed-total,0.00,,0.00 , 06/01/15,, 06/01/15,,-1405,,Current,N,N
18-SCQ,t0006680,0.00,0.00,% Owed-total,0.00,,0.00 , 06/01/15,, 06/01/15,,-1405,,Current,N,N
18-SCQ,t0008519,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/16,, 01/01/16,,-1412,,Current,N,N
18-SCQ,t0008711,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/16,, 01/01/16,,-1412,,Current,N,N
18-SCQ,t0009127,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/16,, 01/01/16,,-1412,,Current,N,N
18-SCQ,t0010823,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/17,, 01/01/17,,-1425,,Current,N,N
18-SCQ,t0011406,0.00,0.00,% Owed-total,0.00,,0.00 , 01/01/17,, 01/01/17,,-1425,,Current,N,N
18-SCQ,t0011117,0.00,0.00,% Owed-total,0.00,,0.00 , 06/22/17,, 06/22/17,,-1430,,Current,N,N
18-VER,t0009612,689.79,0.00,% Owed-total,0.00,,0.00 , 02/01/17, 01/31/22, 02/01/17,,-1426,,Current,N,N
18-VER,t0012112,0.00,,% Owed-month,0.00,,0.00 , 12/01/17,, 12/01/17,,-1436,,Future,N,N
8-44,t0006445,0.00,5.00,% Owed-month,5.00,0.00,, 05/01/15, 04/30/17, 05/01/15,,-1404,,Applicant,N,N
19-101,t0014749,"1,745.00",50.00,Flat Amount,5.00,"4,087.65","2,988.00 ", 01/24/19, 01/31/21, 01/24/19,,-1450,,Current,Y,Y
19-105,t0014609,"1,510.00",50.00,Flat Amount,5.00,"4,795.15","1,510.00 ", 12/20/18, 12/31/20, 12/20/18,,-1448,,Current,Y,Y
19-105,t0014596,0.00,5.00,% Owed-month,5.00,"4,795.15",0.00 , 12/31/18, 12/31/20, 12/31/18,,-1449,,Applicant,N,N
19-108,t0009216,0.00,5.00,% Owed-month,5.00,"3,050.68",0.00 , 06/30/16, 06/30/18, 06/30/16,,-1418,,Applicant,N,N
19-108,t0009285,0.00,5.00,% Owed-month,5.00,"3,050.68",0.00 , 07/12/16, 07/31/18, 07/12/16,,-1419,,Applicant,N,N
19-108,t0009299,"1,440.00",50.00,Flat Amount,5.00,"3,050.68","1,410.00 ", 08/01/18, 07/31/20, 07/30/16,,-1419, 07/10/18,Current,N,Y
19-109,t0006749,"1,762.50",50.00,Flat Amount,5.00,"3,543.56","3,543.56 ", 07/01/19, 06/30/21, 06/27/15,,-1406, 03/29/19,Current,Y,Y
19-202,t0016095,"1,650.00",50.00,Flat Amount,5.00,"4,817.46","4,817.46 ", 11/26/19, 11/30/21, 11/26/19,,-1460,,Current,Y,Y
19-204,t0007207,"1,850.00",50.00,Flat Amount,5.00,"3,117.07","2,981.41 ", 09/01/19, 08/31/21, 08/31/15,,-1408, 07/18/19,Current,Y,Y
19-209,t0016156,"2,130.39",5.00,Flat Amount,5.00,"2,130.39",0.00 , 10/31/19, 10/31/21, 10/31/19,,-1459,,Applicant,N,N
19-304,t0015832,"2,559.00",5.00,% Owed-month,5.00,"3,227.53",0.00 , 08/01/18, 07/31/19, 08/01/18, 6/30/19,11,,Past,N,N
19-304,t0015736,"1,899.00",50.00,Flat Amount,5.00,"3,227.53","2,717.96 ", 07/27/19, 07/31/21, 07/27/19,,-1456,,Current,Y,Y
19-305,t0005766,"1,825.00",50.00,Flat Amount,5.00,"2,663.50","2,598.54 ", 02/01/19, 01/31/21, 01/06/15,,-1400, 01/31/19,Current,Y,N
19-404,t0013761,"1,925.00",50.00,Flat Amount,5.00,"3,311.64","3,311.64 ", 07/25/18, 07/31/20, 07/25/18,,-1444,,Current,Y,Y
19-409,t0014750,0.00,5.00,% Owed-month,5.00,"3,862.21",0.00 , 01/31/19, 01/31/21, 01/31/19,,-1450,,Applicant,N,N
19-409,t0015104,0.00,5.00,% Owed-month,5.00,"3,862.21",0.00 , 04/30/19, 04/30/21, 04/30/19,,-1453,,Applicant,N,N
19-409,t0015614,"1,978.13",50.00,Flat Amount,5.00,"3,862.21","3,862.21 ", 06/12/19, 06/30/20, 06/18/19,,-1454,,Current,Y,Y
19-507,t0013620,"1,575.00",50.00,Flat Amount,5.00,"2,765.39","2,765.39 ", 08/01/18, 07/31/20, 08/01/18,,-1444,,Current,Y,Y
19-603,t0007957,"2,130.49",50.00,Flat Amount,5.00,"3,925.20","3,867.19 ", 02/01/20, 01/31/21, 01/26/16,,-1413, 12/12/19,Current,Y,Y
19-604,t0007506,"1,801.63",50.00,Flat Amount,5.00,"2,509.06","2,399.86 ", 12/01/19, 11/30/21, 11/24/15,,-1411, 11/27/19,Current,Y,Y
21-1C,t0010083,"4,643.45",5.00,% Monthly Rent,5.00,"8,059.88",, 12/01/16, 11/30/18, 12/01/16,,-1424,,Applicant,N,N
21-1C,t0010137,"1,598.01",5.00,% Owed-month,5.00,"8,059.88","4,497.00 ", 12/17/16, 12/31/20, 12/17/16, 4/30/19,29,,Past,Y,N
21-1C,t0015341,"1,699.00",50.00,Flat Amount,5.00,"8,059.88","3,398.00 ", 06/13/19, 06/30/23, 06/13/19,,-1454,,Current,N,Y
21-1F,t0006626,"2,800.00",50.00,Flat Amount,5.00,"5,733.10","2,063.00 ", 06/01/19, 05/31/20, 06/01/15,,-1405, 06/05/19,Current,Y,N
21-1L,t0006525,"1,574.85",5.00,% Monthly Rent,5.00,"5,441.33",0.00 , 05/27/15, 05/31/19, 05/27/15, 9/30/17,29,,Past,Y,N
21-1L,t0012022,"3,129.18",5.00,% Monthly Rent,5.00,"5,441.33",, 12/01/17, 11/30/19, 12/01/17,,-1436,,Applicant,N,N
